id,account_state,risk_level,date_of_birth,state,zipcode,platform,created_at
329581,complete,2,1987-06-29,CA,95037,android,2016-07-13 14:44:29.976171
396,complete,2,1990-08-17,KY,42001,android,2016-07-09 10:19:22.346926
2131,complete,2,1987-03-27,PA,17856,ios,2016-07-02 15:20:59.104448
330605,complete,1,1996-04-04,IN,46033,ios,2016-07-13 21:53:57.922888
330616,complete,3,1983-10-04,CA,92114,android,2016-07-13 21:54:05.98438
330612,complete,2,1995-01-09,CA,90063,ios,2016-07-13 21:55:16.503401
326998,complete,2,1993-03-17,VA,23511,android,2016-07-14 15:16:15.122472
8742,complete,2,1983-10-02,IL,60653,ios,2016-06-24 17:57:22.467562
2854,complete,2,1988-01-11,CA,95621,ios,2016-06-27 04:17:24.879196
332027,closed,2,1984-02-28,CT,06902,ios,2016-07-14 16:40:34.041135
330617,complete,2,1989-02-28,NY,11772,ios,2016-07-13 21:58:43.250693
330873,complete,2,1985-08-11,AZ,85024,ios,2016-07-14 15:17:03.837573
330613,complete,2,1990-03-01,NY,13021,android,2016-07-13 22:03:10.589991
6091,closed,2,1985-05-09,FL,32601,ios,2016-06-10 17:19:29.561264
330619,complete,1,1990-09-20,TX,76018,android,2016-07-13 21:58:18.319389
8023,complete,2,1986-05-31,NY,10029,ios,2016-06-24 18:11:01.723169
330629,complete,2,1995-04-25,FL,33410,ios,2016-07-13 22:01:40.397149
7067,complete,2,1989-11-16,WA,98118,ios,2016-06-24 18:30:16.445228
330623,complete,2,1983-09-07,CO,80233,android,2016-07-13 21:59:57.865172
3272,complete,2,1983-01-21,MD,21769,ios,2016-07-05 13:41:05.224199
330633,closed,2,1997-05-15,NC,28732,ios,2016-07-13 22:03:15.549567
330610,closed,2,1963-11-22,MS,39564,ios,2016-07-25 13:44:55.838216
330618,complete,1,1985-01-14,MD,21102,ios,2016-07-13 22:03:42.289582
330642,complete,1,1990-05-24,TX,79360,ios,2016-07-13 22:03:53.908231
332016,complete,1,1978-03-06,CT,06492,ios,2016-07-14 10:50:15.957336
330301,complete,2,1994-03-29,VA,23462,android,2016-07-14 10:53:52.927181
7422,complete,1,1992-12-11,NJ,07032,ios,2016-06-22 21:39:42.702319
332020,complete,1,1994-08-12,NJ,07828,ios,2016-07-14 10:56:38.912151
330606,closed,2,1993-03-28,CA,91911,android,2016-07-13 21:55:13.379474
330630,complete,2,1995-04-04,FL,33545,ios,2016-07-14 11:04:32.634129
